tipe_entitas,nama_entitas,tahun,nilai
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2005,
"Kontraktor","Riau Bara Harum, PT",2005,59077.29
"Kontraktor","Santan Batubara, PT",2005,
"Kontraktor","Senamas Energindo Mulia, PT",2005,
"Kontraktor","Singlurus Pratama, PT",2005,
"Kontraktor","Sumber Kurnia Buana, PT",2005,
"Kontraktor","Tanito Harum, PT",2005,149770.25
"Kontraktor","Tanjung Alam Jaya, PT",2005,
"Kontraktor","Teguh Sinar Abadi, PT",2005,
"Kontraktor","Trubaindo Coal Mining, PT",2005,
"Kontraktor","Wahana Baratama Mining, PT",2005,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2005,
"Kuasa Pertambangan Swasta","Prov. Jambi",2005,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2005,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2005,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2005,
"Kuasa Pertambangan Swasta","Prov. Riau",2005,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2005,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2005,
"BUMN","Bukit Asam",2006,2637
"BUMN","Bukit Asam - Ombilin",2006,13873
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2006,
"Kontraktor","Adaro Indonesia, PT",2006,1016575
"Kontraktor","Allied Indo Coal, PT",2006,
"Kontraktor","Antang Gunung Meratus, PT",2006,69397.3
"Kontraktor","Arutmin Indonesia, PT",2006,20060
"Kontraktor","Asmin Koalindo Tuhup, PT",2006,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2006,103170
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2006,
"Kontraktor","Baramarta, PD",2006,
"Kontraktor","Baramulti Suksessarana, PT",2006,
"Kontraktor","Batualam Selaras, PT",2006,
"Kontraktor","Berau Coal, PT",2006,2955
"Kontraktor","Borneo Indobara, PT",2006,
"Kontraktor","Firman Ketaun Perkasa, PT",2006,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2006,110671.93
"Kontraktor","Indominco Mandiri, PT",2006,309023
"Kontraktor","Insani Bara Perkasa, PT",2006,
"Kontraktor","Interex Sacra Raya, PT",2006,9213.22
"Kontraktor","Intitirta Primasakti, PT",2006,
"Kontraktor","Jorong Barutama Greston, PT",2006,163767
"Kontraktor","Kadya Caraka Mulia, PT",2006,
"Kontraktor","Kalimantan Energi Lestari, PT",2006,53158.33
